Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
TGSRTC - 8071,Super Luxury (Non AC Seater 2+2 Push Back),06:00,12:25,06h 25m,429,26 Seats available,3.5,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8129,Super Luxury (Non AC Seater 2+2 Push Back),06:15,12:25,06h 10m,429,31 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8075,Super Luxury (Non AC Seater 2+2 Push Back),06:30,12:55,06h 25m,429,30 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8097,Super Luxury (Non AC Seater 2+2 Push Back),06:45,12:55,06h 10m,429,31 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8173,Super Luxury (Non AC Seater 2+2 Push Back),07:00,13:10,06h 10m,429,31 Seats available,3.3,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8061,Super Luxury (Non AC Seater 2+2 Push Back),07:20,13:50,06h 30m,429,31 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8163,Super Luxury (Non AC Seater 2+2 Push Back),07:35,13:45,06h 10m,429,43 Seats available,3.1,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8189,Super Luxury (Non AC Seater 2+2 Push Back),08:00,14:10,06h 10m,429,31 Seats available,4.3,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8055,LAHARI A/C SLEEPER CUM SEATER,08:30,15:00,06h 30m,520,34 Seats available,2.5,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8183,Super Luxury (Non AC Seater 2+2 Push Back),08:50,15:00,06h 10m,429,30 Seats available,3.3,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8063,Super Luxury (Non AC Seater 2+2 Push Back),09:30,16:00,06h 30m,429,31 Seats available,3.3,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8036,Super Luxury (Non AC Seater 2+2 Push Back),10:00,16:10,06h 10m,429,31 Seats available,4.2,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8077,Super Luxury (Non AC Seater 2+2 Push Back),10:30,16:55,06h 25m,429,35 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8030,Lahari Non A/C Sleeper Cum Seater,11:00,17:15,06h 15m,447,31 Seats available,3.4,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8146,LAHARI A/C SLEEPER CUM SEATER,11:30,18:00,06h 30m,520,38 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
TGSRTC - 8148,Super Luxury (Non AC Seater 2+2 Push Back),12:00,18:25,06h 25m,429,31 Seats available,3.8,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
Mythri Tours And Travels,A/C Sleeper (2+1),05:00,10:00,05h 00m,909,9 Seats available,4.5,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
Orange Tours and Travels,Scania AC Multi Axle Sleeper (2+1),05:00,09:15,04h 15m,900,21 Seats available,2.4,Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
